burial_id,feetotal,fee_l,fee_s,fee_d,fee_as_d
11236,0.9.0,0,9,0,108
11237,0.9.0,0,9,0,108
11238,0.5.0,0,5,0,60
11239,0.5.0,0,5,0,60
11240,2.12.6,2,12,6,630
11241,0.5.0,0,5,0,60
11242,10.12.14,10,12,14,2558
11243,0.5.0,0,5,0,60
11244,1.11.0,1,11,0,372
11245,0.12.0,0,12,0,144
11246,0.1.6,0,1,6,18
11247,0.1.6,0,1,6,18
11248,2.3.0,2,3,0,516
11249,1.16.0,1,16,0,432
11250,6.0.0,6,0,0,1440
11251,2.12.6,2,12,6,630
11252,0.9.0,0,9,0,108
11253,0.5.0,0,5,0,60
11254,1.1.0,1,1,0,252
11255,0.9.0,0,9,0,108
11256,0.5.0,0,5,0,60
11257,0.5.0,0,5,0,60
11258,4.6.0,4,6,0,1032
11259,0.5.0,0,5,0,60
11260,0.3.0,0,3,0,36
11261,0.11.6,0,11,6,138
11262,0.5.0,0,5,0,60
11263,1.1.0,1,1,0,252
11264,0.1.6,0,1,6,18
11265,0.9.0,0,9,0,108
11266,1.1.0,1,1,0,252
11267,1.1.0,1,1,0,252
11268,0.9.0,0,9,0,108
11269,0.9.0,0,9,0,108
11270,0.1.6,0,1,6,18
11271,1.1.0,1,1,0,252
11272,0.3.0,0,3,0,36
11273,2.3.0,2,3,0,516
11274,0.5.0,0,5,0,60
11275,0.5.0,0,5,0,60
11276,0.5.0,0,5,0,60
11277,0.12.6,0,12,6,150
11278,0.1.6,0,1,6,18
11279,0.5.0,0,5,0,60
11280,0.1.6,0,1,6,18
11281,0.1.6,0,1,6,18
11282,1.16.0,1,16,0,432
11283,0.3.0,0,3,0,36
11284,0.9.0,0,9,0,108
11285,0.14.0,0,14,0,168
11286,0.9.0,0,9,0,108
11287,0.9.0,0,9,0,108
11288,0.9.0,0,9,0,108
11289,0.5.0,0,5,0,60
11290,0.12.0,0,12,0,144
11291,0.1.6,0,1,6,18
11292,1.13.6,1,13,6,402
11293,1.4.0,1,4,0,288
11294,1.11.0,1,11,0,372
11295,0.5.0,0,5,0,60
11296,0.3.0,0,3,0,36
11297,0.5.0,0,5,0,60
11298,2.3.0,2,3,0,516
11299,1.11.0,1,11,0,372
11300,0.5.0,0,5,0,60
11301,1.1.0,1,1,0,252
11302,13.10.0,13,10,0,3240
11303,2.12.6,2,12,6,630
11304,0.3.0,0,3,0,36
11305,1.16.0,1,16,0,432
11306,0.1.6,0,1,6,18
11307,0.1.6,0,1,6,18
11308,0.1.6,0,1,6,18
11309,0.1.6,0,1,6,18
11310,0.5.0,0,5,0,60
11311,0.5.0,0,5,0,60
11312,1.1.0,1,1,0,252
11313,4.6.0,4,6,0,1032
11314,0.5.0,0,5,0,60
11315,0.9.0,0,9,0,108
11316,0.9.0,0,9,0,108
11317,0.9.0,0,9,0,108
11318,0.9.0,0,9,0,108
11319,13.10.0,13,10,0,3240
11320,2.12.6,2,12,6,630
11321,2.12.6,2,12,6,630
11322,0.5.0,0,5,0,60
11323,0.5.0,0,5,0,60
11324,0.14.0,0,14,0,168
11325,1.16.0,1,16,0,432
11326,0.1.6,0,1,6,18
11327,0.5.0,0,5,0,60
11328,0.5.0,0,5,0,60
11329,0.1.6,0,1,6,18
11330,0.5.0,0,5,0,60
11331,0.9.0,0,9,0,108
11332,1.6.0,1,6,0,312
11333,0.5.0,0,5,0,60
11334,1.11.0,1,11,0,372
11335,0.9.0,0,9,0,108
11336,0.9.0,0,9,0,108
11337,0.9.0,0,9,0,108
11338,0.5.0,0,5,0,60
11339,0.5.0,0,5,0,60
11340,0.5.0,0,5,0,60
11341,0.9.0,0,9,0,108
11342,0.1.6,0,1,6,18
11343,0.1.6,0,1,6,18
11344,0.5.0,0,5,0,60
11345,4.6.0,4,6,0,1032
11346,0.9.0,0,9,0,108
11347,4.6.0,4,6,0,1032
11348,0.5.0,0,5,0,60
11349,0.9.0,0,9,0,108
11350,0.9.0,0,9,0,108
11351,2.12.6,2,12,6,630
11352,2.12.6,2,12,6,630
11353,0.5.0,0,5,0,60
11354,0.5.0,0,5,0,60
11355,0.1.6,0,1,6,18
11356,0.1.6,0,1,6,18
11357,3.2.0,3,2,0,744
11358,0.1.6,0,1,6,18
11359,0.1.6,0,1,6,18
11360,0.3.0,0,3,0,36
11361,0.5.0,0,5,0,60
11362,0.9.0,0,9,0,108
11363,1.4.0,1,4,0,288
11364,0.1.6,0,1,6,18
11365,0.5.0,0,5,0,60
11366,0.9.0,0,9,0,108
11367,1.4.0,1,4,0,288
11368,0.5.0,0,5,0,60
11369,0.1.6,0,1,6,18
